epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,543.757,0.44218,0.61622,1.01976,0.70897,0.73731,0.72429,0.60685,0.71847,1.04771,1.27241,0.000660045,0.000660045,0.000660045
43,556.986,0.4397,0.61571,1.01466,0.82445,0.65418,0.73425,0.60452,0.7081,1.1371,1.25735,0.000649046,0.000649046,0.000649046
44,569.714,0.43089,0.60577,1.01062,0.76789,0.68957,0.72289,0.60227,0.74022,1.12907,1.291,0.000638047,0.000638047,0.000638047
45,583.196,0.43653,0.60397,1.01384,0.76933,0.67316,0.74467,0.61127,0.73566,1.05494,1.30586,0.000627048,0.000627048,0.000627048
46,595.804,0.43836,0.59051,1.02062,0.76172,0.68452,0.76388,0.64688,0.69437,1.03429,1.25081,0.000616049,0.000616049,0.000616049
47,608.367,0.4297,0.53109,1.00799,0.84426,0.68149,0.76104,0.62233,0.78175,1.11484,1.38532,0.000605051,0.000605051,0.000605051
48,620.685,0.42358,0.56202,1.00683,0.74845,0.73169,0.74377,0.6042,0.77175,0.97538,1.38184,0.000594052,0.000594052,0.000594052
49,633.53,0.42832,0.55782,1.01746,0.76109,0.77556,0.78632,0.62612,0.7272,0.98511,1.32161,0.000583053,0.000583053,0.000583053
50,646.826,0.42618,0.55719,1.02196,0.77926,0.6414,0.69958,0.5864,0.80136,1.16244,1.42296,0.000572054,0.000572054,0.000572054
51,659.401,0.43542,0.56381,1.0243,0.80038,0.77747,0.79676,0.64161,0.72828,0.94888,1.30203,0.000561055,0.000561055,0.000561055
52,672.862,0.41155,0.52672,1.00177,0.75622,0.69439,0.73774,0.59499,0.76536,1.14616,1.33626,0.000550056,0.000550056,0.000550056
53,684.653,0.42541,0.5389,1.00328,0.79639,0.68372,0.74448,0.59899,0.76618,1.10468,1.34905,0.000539057,0.000539057,0.000539057
54,696.187,0.42135,0.51576,1.00567,0.68089,0.74485,0.74605,0.60248,0.75964,1.08635,1.31884,0.000528058,0.000528058,0.000528058
55,710.085,0.41675,0.52538,0.99967,0.81817,0.71506,0.75902,0.60284,0.74356,1.03569,1.33732,0.000517059,0.000517059,0.000517059
56,724.053,0.40919,0.52952,1.00229,0.74003,0.69137,0.75597,0.63209,0.6817,1.02533,1.2314,0.00050606,0.00050606,0.00050606
57,737.156,0.42546,0.51959,1.00868,0.77402,0.7403,0.77838,0.64986,0.71112,0.93792,1.27,0.000495062,0.000495062,0.000495062
58,751.035,0.3961,0.49617,0.99215,0.80194,0.67032,0.73968,0.62105,0.69005,1.10684,1.26947,0.000484063,0.000484063,0.000484063
59,764.682,0.39164,0.48112,0.98108,0.76627,0.79076,0.77913,0.63954,0.72475,0.92305,1.30736,0.000473064,0.000473064,0.000473064
60,777.329,0.39699,0.49072,0.98425,0.76273,0.69589,0.75693,0.61342,0.71387,1.11737,1.29289,0.000462065,0.000462065,0.000462065
61,789.298,0.39529,0.50341,0.98563,0.86588,0.66098,0.76716,0.63881,0.68666,0.9022,1.27718,0.000451066,0.000451066,0.000451066
62,802.591,0.39076,0.48837,0.98812,0.81121,0.64966,0.68539,0.57324,0.72182,1.18213,1.31616,0.000440067,0.000440067,0.000440067
63,815.092,0.39708,0.47161,0.98274,0.78566,0.76406,0.80346,0.65708,0.6763,0.91796,1.29319,0.000429068,0.000429068,0.000429068
64,828.944,0.39995,0.472,0.99952,0.71323,0.75619,0.73002,0.6138,0.71638,0.97655,1.33424,0.000418069,0.000418069,0.000418069
65,843.21,0.36007,0.43901,0.9656,0.78388,0.76013,0.7722,0.64845,0.67452,0.87826,1.27537,0.00040707,0.00040707,0.00040707
66,856.578,0.37956,0.44714,0.99407,0.81946,0.70388,0.75867,0.64413,0.66895,0.95464,1.24237,0.000396071,0.000396071,0.000396071
67,868.424,0.36745,0.42538,0.96862,0.74672,0.76023,0.74559,0.62984,0.64184,1.0141,1.19954,0.000385073,0.000385073,0.000385073
68,880.67,0.36489,0.44815,0.96757,0.74472,0.74687,0.7604,0.65177,0.63039,0.94534,1.22873,0.000374074,0.000374074,0.000374074
69,893.605,0.37268,0.45258,0.97003,0.78259,0.70296,0.72906,0.63047,0.68593,1.04239,1.2716,0.000363075,0.000363075,0.000363075
70,906.941,0.36744,0.43174,0.97506,0.85182,0.75124,0.77434,0.64424,0.73194,0.95798,1.33628,0.000352076,0.000352076,0.000352076
71,920.791,0.3661,0.43324,0.97482,0.85916,0.70113,0.7885,0.65254,0.65148,0.97368,1.25508,0.000341077,0.000341077,0.000341077
72,934.072,0.35259,0.40494,0.9681,0.76976,0.73351,0.75388,0.63562,0.69114,1.01158,1.29139,0.000330078,0.000330078,0.000330078
73,947.627,0.36296,0.41136,0.96608,0.82085,0.69077,0.73313,0.60559,0.73488,1.02053,1.33552,0.000319079,0.000319079,0.000319079
74,959.162,0.36947,0.42961,0.9736,0.79905,0.73313,0.76122,0.6429,0.66783,0.98927,1.24141,0.00030808,0.00030808,0.00030808
75,972.065,0.37316,0.4384,0.96786,0.81227,0.68188,0.73822,0.61852,0.66661,1.05737,1.25498,0.000297081,0.000297081,0.000297081
76,985.323,0.36435,0.42048,0.97516,0.7472,0.74599,0.76045,0.62775,0.63515,0.99249,1.22354,0.000286083,0.000286083,0.000286083
77,998.271,0.33959,0.40253,0.95635,0.78733,0.77912,0.77372,0.63292,0.66897,0.97003,1.2482,0.000275084,0.000275084,0.000275084
78,1012.01,0.34878,0.40341,0.96021,0.77905,0.7352,0.73744,0.61854,0.71086,1.08408,1.28991,0.000264085,0.000264085,0.000264085
79,1025.15,0.33836,0.38823,0.95703,0.83939,0.70697,0.75676,0.62639,0.68173,1.01597,1.27819,0.000253086,0.000253086,0.000253086
80,1036.96,0.34373,0.38023,0.95472,0.75839,0.82112,0.78933,0.63926,0.67898,0.93046,1.28814,0.000242087,0.000242087,0.000242087
81,1049.64,0.34533,0.39312,0.95606,0.78273,0.79324,0.78039,0.64434,0.64331,0.91958,1.23046,0.000231088,0.000231088,0.000231088
82,1063.14,0.34878,0.36605,0.96591,0.79044,0.79006,0.77975,0.63535,0.63475,0.94113,1.21352,0.000220089,0.000220089,0.000220089
83,1076.31,0.346,0.38889,0.96095,0.7763,0.71466,0.74853,0.6409,0.60618,0.97027,1.18532,0.00020909,0.00020909,0.00020909
84,1089.43,0.33442,0.37317,0.94815,0.78475,0.74363,0.75992,0.62822,0.63554,0.93353,1.20993,0.000198091,0.000198091,0.000198091
85,1102.88,0.3429,0.38381,0.95939,0.82468,0.74253,0.76508,0.63746,0.63091,0.93301,1.21057,0.000187092,0.000187092,0.000187092
86,1114.93,0.32903,0.38358,0.95971,0.82194,0.70076,0.76351,0.64471,0.63187,0.96433,1.23746,0.000176094,0.000176094,0.000176094
87,1127.31,0.34808,0.3877,0.96141,0.79848,0.70829,0.72827,0.60902,0.66373,1.02488,1.30237,0.000165095,0.000165095,0.000165095
88,1141.18,0.32698,0.39155,0.95312,0.7851,0.6618,0.7169,0.61688,0.63967,1.07279,1.24657,0.000154096,0.000154096,0.000154096
89,1154.44,0.33678,0.36916,0.96148,0.77979,0.70965,0.74692,0.64551,0.60457,0.98486,1.18853,0.000143097,0.000143097,0.000143097
90,1168.33,0.35013,0.38141,0.96147,0.77229,0.72436,0.75792,0.64309,0.62456,0.97028,1.2084,0.000132098,0.000132098,0.000132098
91,1183.85,0.25967,0.3722,0.94937,0.79865,0.67754,0.73659,0.6338,0.6914,1.0216,1.28705,0.000121099,0.000121099,0.000121099
92,1195.59,0.25512,0.33066,0.94896,0.88201,0.67167,0.74465,0.63581,0.66973,0.99346,1.28553,0.0001101,0.0001101,0.0001101
93,1205.73,0.24183,0.32068,0.91767,0.80232,0.74673,0.76968,0.64637,0.63903,0.95473,1.25204,9.91012e-05,9.91012e-05,9.91012e-05
94,1217.1,0.24674,0.3135,0.9369,0.82072,0.73939,0.76856,0.65908,0.60174,0.92174,1.19208,8.81023e-05,8.81023e-05,8.81023e-05
95,1229.1,0.23966,0.29986,0.93635,0.83039,0.74739,0.79116,0.66907,0.59299,0.89931,1.19076,7.71034e-05,7.71034e-05,7.71034e-05
96,1240.98,0.22665,0.28413,0.92959,0.84606,0.71945,0.78233,0.66055,0.57541,0.9106,1.1772,6.61045e-05,6.61045e-05,6.61045e-05
97,1250.89,0.23168,0.28583,0.93351,0.80182,0.71954,0.77747,0.65911,0.57599,0.94811,1.18036,5.51056e-05,5.51056e-05,5.51056e-05
98,1262.89,0.22824,0.30969,0.92879,0.7855,0.72214,0.77146,0.65477,0.58063,0.94946,1.18661,4.41067e-05,4.41067e-05,4.41067e-05
99,1275.74,0.21994,0.27173,0.92884,0.82474,0.686,0.75913,0.65073,0.57696,0.94004,1.18397,3.31078e-05,3.31078e-05,3.31078e-05
100,1286.73,0.23967,0.29669,0.93946,0.78645,0.72514,0.76287,0.64833,0.56747,0.93362,1.16845,2.21089e-05,2.21089e-05,2.21089e-05
